date,product_id,category,price,cost,discount_pct,units_sold,revenue,inventory_level,competitor_price,season,day_of_week,profit,margin_pct,price_diff_competitor
01-01-2024,P100,Home,954.0,674.89,10,1,954.0,141,963.24,Normal,Monday,279.11,0.29256813417190775,-9.240000000000009
01-01-2024,P101,Sports,280.5,199.36,15,6,1683.0,313,289.83,Normal,Monday,486.8399999999999,0.28926916221033866,-9.329999999999984
01-01-2024,P102,Electronics,659.0,476.02,0,0,0.0,494,627.57,Festival,Monday,0.0,,31.42999999999995
01-01-2024,P103,Fashion,1157.0,875.89,0,0,0.0,339,1158.65,Normal,Monday,0.0,,-1.650000000000091
01-01-2024,P104,Home,220.0,151.82,0,6,1320.0,33,229.73,Sale,Monday,409.08000000000004,0.30990909090909097,-9.72999999999999
01-01-2024,P105,Home,1155.0,721.19,0,0,0.0,225,1101.22,Normal,Monday,0.0,,53.77999999999997
01-01-2024,P106,Sports,1225.0,839.16,0,2,2450.0,496,1233.29,Holiday,Monday,771.6800000000001,0.3149714285714286,-8.289999999999964
01-01-2024,P107,Sports,1475.0,898.34,0,1,1475.0,357,1458.58,Normal,Monday,576.66,0.3909559322033898,16.420000000000073
01-01-2024,P108,Electronics,963.0,694.71,0,0,0.0,320,943.38,Normal,Monday,0.0,,19.620000000000005
01-01-2024,P109,Sports,1157.4,981.34,10,2,2314.8,308,1183.91,Festival,Monday,352.1200000000001,0.15211681354760676,-26.50999999999999
01-01-2024,P110,Fashion,216.0,187.92,10,6,1296.0,52,214.91,Normal,Monday,168.48000000000002,0.13,1.0900000000000034
01-01-2024,P111,Sports,925.0,719.13,0,0,0.0,481,889.81,Sale,Monday,0.0,,35.190000000000055
01-01-2024,P112,Home,966.0,629.07,0,1,966.0,365,986.35,Normal,Monday,336.92999999999995,0.34878881987577637,-20.350000000000023
01-01-2024,P113,Sports,1037.0,856.09,15,0,0.0,256,1011.0,Normal,Monday,0.0,,26.0
01-01-2024,P114,Electronics,1313.85,995.45,5,1,1313.85,189,1363.84,Sale,Monday,318.39999999999986,0.24234121094493274,-49.99000000000001
01-01-2024,P115,Sports,1454.0,1136.11,0,1,1454.0,140,1475.47,Sale,Monday,317.8900000000001,0.2186313617606603,-21.470000000000027
01-01-2024,P116,Home,909.0,638.25,0,0,0.0,326,883.74,Normal,Monday,0.0,,25.25999999999999
01-01-2024,P117,Sports,1456.0,991.2,0,0,0.0,287,1420.17,Normal,Monday,0.0,,35.82999999999993
01-01-2024,P118,Electronics,1093.45,699.09,5,3,3280.35,73,1093.74,Normal,Monday,1183.08,0.36065663724907404,-0.2899999999999636
01-01-2024,P119,Electronics,929.0,740.53,0,3,2787.0,222,944.99,Normal,Monday,565.4099999999999,0.20287405812701825,-15.990000000000009
02-01-2024,P100,Fashion,407.15,332.45,15,6,2442.9,259,403.03,Sale,Tuesday,448.2000000000003,0.18347046543043116,4.1200000000000045
02-01-2024,P101,Home,859.0,571.4,0,1,859.0,166,877.14,Normal,Tuesday,287.6,0.33480791618160655,-18.139999999999986
02-01-2024,P102,Electronics,1071.6,766.49,5,2,2143.2,286,1107.79,Normal,Tuesday,610.2199999999998,0.28472377752892863,-36.190000000000055
02-01-2024,P103,Fashion,781.85,585.19,5,0,0.0,323,761.67,Holiday,Tuesday,0.0,,20.180000000000064
02-01-2024,P104,Sports,1214.0,810.72,0,2,2428.0,150,1241.43,Sale,Tuesday,806.56,0.3321911037891268,-27.430000000000064
02-01-2024,P105,Sports,602.65,558.71,15,5,3013.25,385,589.63,Normal,Tuesday,219.69999999999982,0.07291130838795315,13.019999999999982
02-01-2024,P106,Sports,1040.4,745.45,10,2,2080.8,296,1013.06,Normal,Tuesday,589.9000000000001,0.2834967320261438,27.340000000000146
02-01-2024,P107,Sports,1193.2,889.89,5,2,2386.4,41,1209.47,Normal,Tuesday,606.6200000000001,0.2541987931612471,-16.269999999999982
02-01-2024,P108,Electronics,723.9,593.15,5,1,723.9,305,745.24,Festival,Tuesday,130.75,0.18061887000966986,-21.340000000000032
02-01-2024,P109,Sports,772.2,612.96,10,3,2316.6,191,736.96,Holiday,Tuesday,477.7199999999998,0.20621600621600614,35.24000000000001
02-01-2024,P110,Electronics,717.0,483.28,0,1,717.0,321,747.71,Holiday,Tuesday,233.72000000000003,0.3259693165969317,-30.710000000000036
02-01-2024,P111,Electronics,1127.0,868.05,0,2,2254.0,300,1089.75,Normal,Tuesday,517.9000000000001,0.22976929902395746,37.25
02-01-2024,P112,Home,840.75,548.2,5,2,1681.5,469,881.95,Normal,Tuesday,585.0999999999999,0.34796312815938146,-41.200000000000045
02-01-2024,P113,Electronics,445.0,298.99,0,1,445.0,374,458.77,Normal,Tuesday,146.01,0.3281123595505618,-13.769999999999982
02-01-2024,P114,Sports,991.8,771.73,10,1,991.8,419,1006.67,Normal,Tuesday,220.06999999999994,0.22188949384956638,-14.870000000000005
02-01-2024,P115,Sports,926.0,680.06,0,0,0.0,209,894.06,Normal,Tuesday,0.0,,31.940000000000055
02-01-2024,P116,Fashion,453.6,306.16,10,4,1814.4,463,447.26,Normal,Tuesday,589.76,0.3250440917107584,6.340000000000032
02-01-2024,P117,Sports,1028.85,738.9,5,1,1028.85,163,991.64,Holiday,Tuesday,289.94999999999993,0.2818195072167954,37.20999999999992
02-01-2024,P118,Fashion,856.0,581.88,0,2,1712.0,365,876.89,Normal,Tuesday,548.24,0.3202336448598131,-20.889999999999986
02-01-2024,P119,Electronics,1281.0,1003.08,0,2,2562.0,137,1247.67,Festival,Tuesday,555.8399999999999,0.21695550351288054,33.32999999999993
03-01-2024,P100,Electronics,986.4,866.91,10,0,0.0,297,991.76,Festival,Wednesday,0.0,,-5.360000000000014
