date,product_id,category,price,cost,discount_pct,units_sold,revenue,inventory_level,competitor_price,season,day_of_week
01-01-2024,P100,Home,954,674.89,10,1,954,141,963.24,Normal,Monday
01-01-2024,P101,Sports,280.5,199.36,15,6,1683,313,289.83,Normal,Monday
01-01-2024,P102,Electronics,659,476.02,0,0,0,494,627.57,Festival,Monday
01-01-2024,P103,Fashion,1157,875.89,0,0,0,339,1158.65,Normal,Monday
01-01-2024,P104,Home,220,151.82,0,6,1320,33,229.73,Sale,Monday
01-01-2024,P105,Home,1155,721.19,0,0,0,225,1101.22,Normal,Monday
01-01-2024,P106,Sports,1225,839.16,0,2,2450,496,1233.29,Holiday,Monday
01-01-2024,P107,Sports,1475,898.34,0,1,1475,357,1458.58,Normal,Monday
01-01-2024,P108,Electronics,963,694.71,0,0,0,320,943.38,Normal,Monday
01-01-2024,P109,Sports,1157.4,981.34,10,2,2314.8,308,1183.91,Festival,Monday
01-01-2024,P110,Fashion,216,187.92,10,6,1296,52,214.91,Normal,Monday
01-01-2024,P111,Sports,925,719.13,0,0,0,481,889.81,Sale,Monday
01-01-2024,P112,Home,966,629.07,0,1,966,365,986.35,Normal,Monday
01-01-2024,P113,Sports,1037,856.09,15,0,0,256,1011,Normal,Monday
01-01-2024,P114,Electronics,1313.85,995.45,5,1,1313.85,189,1363.84,Sale,Monday
01-01-2024,P115,Sports,1454,1136.11,0,1,1454,140,1475.47,Sale,Monday
01-01-2024,P116,Home,909,638.25,0,0,0,326,883.74,Normal,Monday
01-01-2024,P117,Sports,1456,991.2,0,0,0,287,1420.17,Normal,Monday
01-01-2024,P118,Electronics,1093.45,699.09,5,3,3280.35,73,1093.74,Normal,Monday
01-01-2024,P119,Electronics,929,740.53,0,3,2787,222,944.99,Normal,Monday
02-01-2024,P100,Fashion,407.15,332.45,15,6,2442.9,259,403.03,Sale,Tuesday
02-01-2024,P101,Home,859,571.4,0,1,859,166,877.14,Normal,Tuesday
02-01-2024,P102,Electronics,1071.6,766.49,5,2,2143.2,286,1107.79,Normal,Tuesday
02-01-2024,P103,Fashion,781.85,585.19,5,0,0,323,761.67,Holiday,Tuesday
02-01-2024,P104,Sports,1214,810.72,0,2,2428,150,1241.43,Sale,Tuesday
02-01-2024,P105,Sports,602.65,558.71,15,5,3013.25,385,589.63,Normal,Tuesday
02-01-2024,P106,Sports,1040.4,745.45,10,2,2080.8,296,1013.06,Normal,Tuesday
02-01-2024,P107,Sports,1193.2,889.89,5,2,2386.4,41,1209.47,Normal,Tuesday
02-01-2024,P108,Electronics,723.9,593.15,5,1,723.9,305,745.24,Festival,Tuesday
02-01-2024,P109,Sports,772.2,612.96,10,3,2316.6,191,736.96,Holiday,Tuesday
02-01-2024,P110,Electronics,717,483.28,0,1,717,321,747.71,Holiday,Tuesday
02-01-2024,P111,Electronics,1127,868.05,0,2,2254,300,1089.75,Normal,Tuesday
02-01-2024,P112,Home,840.75,548.2,5,2,1681.5,469,881.95,Normal,Tuesday
02-01-2024,P113,Electronics,445,298.99,0,1,445,374,458.77,Normal,Tuesday
02-01-2024,P114,Sports,991.8,771.73,10,1,991.8,419,1006.67,Normal,Tuesday
02-01-2024,P115,Sports,926,680.06,0,0,0,209,894.06,Normal,Tuesday
02-01-2024,P116,Fashion,453.6,306.16,10,4,1814.4,463,447.26,Normal,Tuesday
02-01-2024,P117,Sports,1028.85,738.9,5,1,1028.85,163,991.64,Holiday,Tuesday
02-01-2024,P118,Fashion,856,581.88,0,2,1712,365,876.89,Normal,Tuesday
02-01-2024,P119,Electronics,1281,1003.08,0,2,2562,137,1247.67,Festival,Tuesday
03-01-2024,P100,Electronics,986.4,866.91,10,0,0,297,991.76,Festival,Wednesday
03-01-2024,P101,Fashion,896,598.86,0,2,1792,113,859.64,Sale,Wednesday
03-01-2024,P102,Sports,1111,688.34,0,0,0,308,1108.05,Normal,Wednesday
03-01-2024,P103,Fashion,912.95,756.01,5,2,1825.9,23,916.54,Festival,Wednesday
03-01-2024,P104,Fashion,661.2,538.31,5,5,3306,415,681.1,Normal,Wednesday
03-01-2024,P105,Electronics,1267.35,1009.74,15,0,0,63,1318.72,Normal,Wednesday
03-01-2024,P106,Fashion,1402.2,913.48,5,0,0,283,1342.07,Normal,Wednesday
03-01-2024,P107,Home,1419,1048.04,0,0,0,395,1480.96,Festival,Wednesday
03-01-2024,P108,Electronics,787.5,556.05,10,2,1575,196,811.66,Festival,Wednesday
03-01-2024,P109,Home,1413,1006.58,0,0,0,298,1438.41,Sale,Wednesday
